12,64
21,72
34,56
42,32
52,41
48,67
53,90
47,86
72,74
65,67
64,83
84,104
68,123
50,140
32,124
14,141
42,173
21,199
36,216
18,235
34,251
52,271
75,292
49,318
24,345
42,364
60,380
90,349
74,337
111,302
140,272
110,241
83,215
67,194
84,176
72,161
102,131
128,102
102,77
109,68
82,46
91,39
68,22
116,21
148,19
163,35
140,62
139,73
151,84
178,61
194,77
166,107
130,142
148,167
170,188
186,169
165,146
184,126
202,146
184,126
202,107
215,120
230,98
272,98
238,65
211,37
229,19
252,40
274,20
298,41
322,20
342,40
363,22
384,41
349,80
302,127
326,102
311,84
304,64
290,79
300,88
384,41
363,22
342,40
322,20
298,41
274,20
252,40
229,19
211,37
238,65
272,98
230,98
215,119
238,141
221,165
202,183
185,171
170,188
201,220
233,187
259,163
282,187
305,164
322,146
337,161
324,143
345,122
360,107
382,126
358,147
384,170
358,193
351,188
336,203
318,187
300,205
310,217
292,236
266,211
246,230
270,255
252,277
226,252
204,273
191,260
204,273
187,289
174,277
156,296
190,332
226,296
252,323
264,309
286,329
328,326
297,299
291,289
319,262
348,232
370,255
375,245
389,256
374,269
364,260
336,287
354,308
363,297
382,316
356,344
330,369
280,370
264,353
252,365
226,342
213,355
193,374
185,365
169,383
153,364
166,349
136,318
118,335
128,346
101,374
85,365
80,335
119,295
88,261
63,234
82,214
66,193
84,175
110,199
124,189
140,208
130,218
146,235
160,227
